XM_065419858.1#LOC135892157	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065419858.1" target=_blank>XM_065419858.1</A>
XM_065400653.1#GOLGB1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065400653.1" target=_blank>XM_065400653.1</A>
XM_065400665.1#LOC135875697	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065400665.1" target=_blank>XM_065400665.1</A>
XM_065415209.1#HCLS1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065415209.1" target=_blank>XM_065415209.1</A>
XM_065418724.1#LOC135891220	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065418724.1" target=_blank>XM_065418724.1</A>
XM_065420367.1#LOC135892566	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065420367.1" target=_blank>XM_065420367.1</A>
XM_065413011.1#NME6	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065413011.1" target=_blank>XM_065413011.1</A>
XM_065413017.1#NME6	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065413017.1" target=_blank>XM_065413017.1</A>
XM_065417310.1#LOC135889434	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065417310.1" target=_blank>XM_065417310.1</A>
XM_065419963.1#LOC135892260	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065419963.1" target=_blank>XM_065419963.1</A>
XM_065418560.1#ARSA	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065418560.1" target=_blank>XM_065418560.1</A>
XM_065411947.1#SHANK3	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065411947.1" target=_blank>XM_065411947.1</A>
XM_065423238.1#MAPK8IP2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423238.1" target=_blank>XM_065423238.1</A>
XM_065420775.1#CHKB	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065420775.1" target=_blank>XM_065420775.1</A>
XM_065401395.1#CPT1B	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065401395.1" target=_blank>XM_065401395.1</A>
XM_065420419.1#LOC135892618	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065420419.1" target=_blank>XM_065420419.1</A>
XM_065423878.1#LOC135895731	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423878.1" target=_blank>XM_065423878.1</A>
XM_065397438.1#LOC135872979	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065397438.1" target=_blank>XM_065397438.1</A>
XM_065423879.1#LOC135895732	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423879.1" target=_blank>XM_065423879.1</A>
XM_065397443.1#LOC135872986	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065397443.1" target=_blank>XM_065397443.1</A>
XM_065423752.1#LOC135895612	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423752.1" target=_blank>XM_065423752.1</A>
XM_065423648.1#LOC135895531	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423648.1" target=_blank>XM_065423648.1</A>
XM_065420753.1#LOC135892967	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065420753.1" target=_blank>XM_065420753.1</A>
XM_065420743.1#LOC135892960	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065420743.1" target=_blank>XM_065420743.1</A>
XM_065423781.1#LOC135895641	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423781.1" target=_blank>XM_065423781.1</A>
XM_065423840.1#LOC135895693	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423840.1" target=_blank>XM_065423840.1</A>
XM_065423880.1#LOC135895733	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423880.1" target=_blank>XM_065423880.1</A>
XM_065423838.1#LOC135895692	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423838.1" target=_blank>XM_065423838.1</A>
XM_065420940.1#LOC135893146	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065420940.1" target=_blank>XM_065420940.1</A>
XM_065423731.1#LOC135895592	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423731.1" target=_blank>XM_065423731.1</A>
XM_065416996.1#LOC135889171	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065416996.1" target=_blank>XM_065416996.1</A>
XM_065416987.1#LOC135889171	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065416987.1" target=_blank>XM_065416987.1</A>
XM_065423551.1#LOC135895440	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423551.1" target=_blank>XM_065423551.1</A>
XM_065403975.1#LOC135878339	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065403975.1" target=_blank>XM_065403975.1</A>
XM_065403945.1#LOC135878312	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065403945.1" target=_blank>XM_065403945.1</A>
XM_065403965.1#LOC135878323	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065403965.1" target=_blank>XM_065403965.1</A>
XM_065403956.1#LOC135878323	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065403956.1" target=_blank>XM_065403956.1</A>
XM_065403987.1#LOC135878350	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065403987.1" target=_blank>XM_065403987.1</A>
XM_065397452.1#LOC135872996	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065397452.1" target=_blank>XM_065397452.1</A>
XM_065397457.1#GARIN1A	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065397457.1" target=_blank>XM_065397457.1</A>
XM_065405809.1#IMPDH1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065405809.1" target=_blank>XM_065405809.1</A>
XM_065405794.1#IMPDH1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065405794.1" target=_blank>XM_065405794.1</A>
XM_065405802.1#IMPDH1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065405802.1" target=_blank>XM_065405802.1</A>
XM_065421836.1#LOC135893876	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065421836.1" target=_blank>XM_065421836.1</A>
XM_065421900.1#LOC135893930	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065421900.1" target=_blank>XM_065421900.1</A>
XM_065398850.1#PRRT4	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065398850.1" target=_blank>XM_065398850.1</A>
XM_065423612.1#LOC135895503	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423612.1" target=_blank>XM_065423612.1</A>
XM_065422183.1#RBM28	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065422183.1" target=_blank>XM_065422183.1</A>
XM_065423623.1#LEP	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423623.1" target=_blank>XM_065423623.1</A>
XM_065422299.1#SND1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065422299.1" target=_blank>XM_065422299.1</A>
XM_065423345.1#LRRC4	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423345.1" target=_blank>XM_065423345.1</A>
XM_065422426.1#FSCN3	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065422426.1" target=_blank>XM_065422426.1</A>
XM_065404113.1#ARF5	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065404113.1" target=_blank>XM_065404113.1</A>
XM_065412510.1#GCC1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065412510.1" target=_blank>XM_065412510.1</A>
XM_065422443.1#LOC135894379	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065422443.1" target=_blank>XM_065422443.1</A>
XM_065413439.1#DENND6B	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065413439.1" target=_blank>XM_065413439.1</A>
XM_065397506.1#PPP6R2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065397506.1" target=_blank>XM_065397506.1</A>
XM_065423346.1#SBF1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423346.1" target=_blank>XM_065423346.1</A>
XM_065397530.1#ADM2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065397530.1" target=_blank>XM_065397530.1</A>
XM_065422668.1#MIOX	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065422668.1" target=_blank>XM_065422668.1</A>
XM_065407749.1#LMF2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065407749.1" target=_blank>XM_065407749.1</A>
XM_065416853.1#NCAPH2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065416853.1" target=_blank>XM_065416853.1</A>
XM_065418917.1#LOC135891366	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065418917.1" target=_blank>XM_065418917.1</A>
XM_065423335.1#TYMP	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065423335.1" target=_blank>XM_065423335.1</A>
XM_065419474.1#LOC135891805	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_065419474.1" target=_blank>XM_065419474.1</A>
